user_id,signup_date,tier,country,age_group,preferred_genre,skip_tendency
user_0000000,2023-04-13,premium,FR,18-24,hip-hop,0.18573032995717786
user_0000001,2024-03-11,free,DE,25-34,metal,0.34728821602522736
user_0000002,2023-09-28,free,ES,18-24,pop,0.09615582341777884
user_0000003,2023-04-17,family,DE,25-34,country,0.40258951507524954
user_0000004,2023-03-13,premium,DE,25-34,jazz,0.326262475660751
user_0000005,2024-12-01,premium,FR,25-34,electronic,0.12824747344356818
user_0000006,2023-01-21,premium,CA,25-34,country,0.24652206508717933
user_0000007,2024-09-06,free,FR,45-54,r&b,0.7254347606395005
user_0000008,2023-05-02,free,MX,55+,rock,0.2789651352137231
user_0000009,2024-04-11,free,US,18-24,pop,0.48577086030224986
user_0000010,2023-08-03,family,AU,18-24,electronic,0.5020354141443969
user_0000011,2023-11-27,premium,CA,35-44,country,0.23222568290356863
user_0000012,2024-04-03,free,UK,25-34,rock,0.5251912358049667
user_0000013,2023-03-29,free,AU,25-34,hip-hop,0.2414844900550298
user_0000014,2024-01-08,free,US,25-34,pop,0.5648142801947621
user_0000015,2023-04-10,free,MX,25-34,pop,0.2992343456541631
user_0000016,2024-10-25,premium,MX,45-54,hip-hop,0.45864156715041493
user_0000017,2023-05-11,premium,UK,18-24,jazz,0.2634001798106025
user_0000018,2024-10-23,family,CA,35-44,hip-hop,0.7031435096808132
user_0000019,2023-11-05,free,ES,25-34,pop,0.7282265055891787
user_0000020,2023-12-10,free,DE,25-34,pop,0.20311898090980543
user_0000021,2024-05-06,premium,CA,25-34,country,0.1481466260243857
user_0000022,2024-02-18,premium,ES,25-34,metal,0.10436887826903847
user_0000023,2024-01-21,premium,MX,35-44,rock,0.34710394130386446
user_0000024,2023-07-11,premium,FR,18-24,hip-hop,0.2217147108680079
user_0000025,2023-10-04,free,US,18-24,rock,0.11860417694237285
user_0000026,2023-06-10,premium,UK,35-44,hip-hop,0.18738845254655517
user_0000027,2024-04-04,free,US,18-24,r&b,0.30430283093157423
user_0000028,2023-11-10,free,JP,18-24,pop,0.47409330609651373
user_0000029,2023-01-22,free,JP,25-34,metal,0.21589001500869165
user_0000030,2023-09-10,free,CA,18-24,country,0.2466847293635404
user_0000031,2024-07-14,premium,MX,45-54,metal,0.28922819479138406
user_0000032,2024-04-19,free,MX,18-24,metal,0.13647643583220997
user_0000033,2023-02-28,premium,DE,25-34,metal,0.4071285772560645
user_0000034,2024-05-25,family,DE,25-34,rock,0.34414046121348757
user_0000035,2024-11-12,free,DE,35-44,hip-hop,0.3316972658332468
user_0000036,2024-04-20,free,FR,25-34,indie,0.034594988636380865
user_0000037,2024-11-30,premium,AU,18-24,r&b,0.029950397028485506
user_0000038,2023-07-09,free,BR,55+,electronic,0.08573330129051412
user_0000039,2024-11-17,free,AU,45-54,metal,0.24409128255777032
user_0000040,2024-07-16,free,US,45-54,jazz,0.17350098902947994
user_0000041,2024-07-20,free,AU,25-34,rock,0.4920842625227663
user_0000042,2023-09-01,family,FR,18-24,country,0.10394991001730045
user_0000043,2024-05-19,family,US,25-34,electronic,0.5306963272896519
user_0000044,2023-05-11,premium,AU,25-34,indie,0.15665533321183506
user_0000045,2024-04-29,family,FR,25-34,jazz,0.29594118660504676
user_0000046,2024-10-08,family,BR,45-54,indie,0.21263565784741997
user_0000047,2023-01-21,free,AU,25-34,electronic,0.3740885034653177
user_0000048,2023-06-16,family,FR,55+,metal,0.49460521057786055
user_0000049,2023-10-01,premium,DE,25-34,jazz,0.343397361902586
user_0000050,2024-01-23,family,MX,45-54,indie,0.36122407885577185
user_0000051,2024-08-23,family,DE,18-24,country,0.11951546513540981
user_0000052,2023-11-12,free,MX,25-34,hip-hop,0.6188765365936222
user_0000053,2023-01-14,free,UK,35-44,pop,0.6082093350887888
